VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
NA,north west,male,white,Married/Widowed,64,Owns/Outright,GCE
Labour,north west,female,white,Seperated/Divorced,56,Rent/Other,BA
NA,north west,female,white,Seperated/Divorced,46,Owns/Mortgage,BA
Other,yorkshire & humberside,male,white,Married/Widowed,66,Owns/Mortgage,GCE
Other,wales,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
NA,greater london,male,white,Partner/Single,48,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,greater london,female,white,Partner/Single,36,Rent/Other,GCE
Conservative,east midlands,male,white,Married/Widowed,41,Owns/Mortgage,GCE
NA,south east,male,white,Married/Widowed,48,Owns/Mortgage,GCE
NA,west midlands,male,white,Married/Widowed,37,Owns/Mortgage,Technical/None/Other
NA,east midlands,female,white,Seperated/Divorced,57,Rent/Other,Technical/None/Other
Conservative,yorkshire & humberside,male,white,Married/Widowed,45,Owns/Outright,BA
LiberalDemocrat,west midlands,male,white,Married/Widowed,49,Owns/Outright,GCE
Labour,north west,female,white,Partner/Single,55,Owns/Outright,GCE
Labour,greater london,female,black or black british,Partner/Single,42,Rent/Other,GCSE
LiberalDemocrat,south west,male,white,Married/Widowed,64,Owns/Outright,GCE
NA,west midlands,male,white,Partner/Single,67,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,female,white,Seperated/Divorced,35,Rent/Other,GCE
Conservative,south west,male,white,Married/Widowed,45,Rent/Other,Technical/None/Other
LiberalDemocrat,north west,female,white,Partner/Single,66,Owns/Outright,GCE
NA,east midlands,female,white,Married/Widowed,49,Owns/Mortgage,Technical/None/Other
Conservative,east anglia,male,white,Married/Widowed,47,Owns/Mortgage,Technical/None/Other
Conservative,south west,male,white,Married/Widowed,72,Owns/Outright,BA
NA,south west,male,white,Partner/Single,34,Rent/Other,GCE
Other,south east,male,white,Married/Widowed,60,Owns/Mortgage,GCSE
NA,east midlands,female,white,Seperated/Divorced,52,Owns/Outright,GCE
Other,yorkshire & humberside,male,white,Married/Widowed,56,Owns/Outright,Technical/None/Other
NA,scotland,male,white,Married/Widowed,36,Rent/Other,GCSE
NA,west midlands,male,white,Seperated/Divorced,41,Rent/Other,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,53,Owns/Mortgage,GCE
Labour,north,female,white,Seperated/Divorced,60,Rent/Other,Technical/None/Other
NA,east midlands,female,white,Seperated/Divorced,37,Owns/Outright,GCE
NA,south west,female,mixed background,Partner/Single,38,Rent/Other,GCE
NA,south east,male,white,Married/Widowed,45,Owns/Mortgage,BA
Conservative,yorkshire & humberside,male,white,Partner/Single,35,Owns/Outright,BA
LiberalDemocrat,south east,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,female,white,Married/Widowed,57,Owns/Mortgage,GCSE
Other,east anglia,female,white,Married/Widowed,48,Owns/Mortgage,Technical/None/Other
NA,west midlands,female,white,Married/Widowed,62,Owns/Mortgage,BA
LiberalDemocrat,south west,male,white,Married/Widowed,31,Owns/Outright,BA
Labour,east midlands,female,white,Married/Widowed,46,Owns/Mortgage,GCSE
NA,north west,male,white,Married/Widowed,42,Owns/Mortgage,BA
LiberalDemocrat,south east,male,white,Partner/Single,50,Owns/Outright,BA
Conservative,south east,female,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
NA,greater london,female,white,Partner/Single,28,Rent/Other,GCSE
NA,north west,male,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Partner/Single,52,Rent/Other,BA
LiberalDemocrat,west midlands,male,white,Partner/Single,54,Owns/Outright,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,68,Rent/Other,BA
LiberalDemocrat,north,male,white,Married/Widowed,61,Owns/Outright,GCSE
Labour,west midlands,male,white,Partner/Single,33,Rent/Other,GCE
NA,scotland,male,white,Married/Widowed,70,Owns/Outright,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,29,Owns/Mortgage,BA
Other,wales,male,white,Married/Widowed,75,Owns/Outright,Technical/None/Other
NA,west midlands,female,white,Partner/Single,40,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,female,white,Married/Widowed,78,Owns/Outright,Technical/None/Other
Other,south east,female,white,Married/Widowed,42,Owns/Mortgage,GCE
Other,south east,female,white,Seperated/Divorced,56,Rent/Other,GCE
NA,south west,female,white,Married/Widowed,43,Owns/Mortgage,GCSE
NA,scotland,female,white,Married/Widowed,63,Owns/Outright,BA
LiberalDemocrat,scotland,female,white,Married/Widowed,30,Rent/Other,GCE
Labour,wales,female,white,Married/Widowed,41,Owns/Mortgage,BA
NA,west midlands,female,white,Married/Widowed,31,Owns/Mortgage,BA
Conservative,scotland,female,white,Married/Widowed,37,Owns/Mortgage,GCSE
NA,south east,male,white,Seperated/Divorced,61,Rent/Other,Technical/None/Other
NA,south west,female,white,Seperated/Divorced,69,Rent/Other,Technical/None/Other
Conservative,south east,female,white,Married/Widowed,32,Owns/Mortgage,BA
LiberalDemocrat,north west,male,white,Married/Widowed,70,Owns/Outright,BA
Labour,scotland,female,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
NA,south west,male,white,Married/Widowed,52,Owns/Mortgage,GCE
NA,north west,male,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
LiberalDemocrat,east anglia,female,white,Partner/Single,51,Owns/Mortgage,GCSE
NA,yorkshire & humberside,female,white,Married/Widowed,45,Owns/Mortgage,GCE
LiberalDemocrat,greater london,female,white,Partner/Single,35,Owns/Mortgage,BA
Other,west midlands,male,white,Married/Widowed,57,Owns/Mortgage,BA
Conservative,west midlands,female,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
Conservative,south east,female,white,Married/Widowed,53,Owns/Outright,Technical/None/Other
LiberalDemocrat,greater london,female,white,Partner/Single,48,Owns/Mortgage,BA
NA,south west,female,white,Married/Widowed,39,Owns/Mortgage,GCE
LiberalDemocrat,wales,male,white,Married/Widowed,63,Owns/Outright,GCE
Labour,wales,male,white,Partner/Single,46,Rent/Other,Technical/None/Other
NA,south west,female,white,Married/Widowed,26,Owns/Mortgage,GCE
Labour,scotland,male,white,Married/Widowed,43,Owns/Mortgage,GCE
Other,south west,male,white,Married/Widowed,82,Owns/Outright,Technical/None/Other
NA,north west,male,white,Married/Widowed,68,Owns/Mortgage,BA
NA,east midlands,male,white,Partner/Single,37,Rent/Other,GCE
Conservative,east midlands,female,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Other,north west,female,white,Married/Widowed,57,Owns/Outright,Technical/None/Other
Conservative,south west,male,white,Married/Widowed,61,Owns/Mortgage,BA
NA,scotland,female,white,Married/Widowed,53,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,greater london,male,white,Married/Widowed,70,Owns/Outright,GCSE
Conservative,west midlands,female,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
LiberalDemocrat,east anglia,male,white,Seperated/Divorced,53,Owns/Mortgage,GCE
NA,south west,female,white,Seperated/Divorced,58,Owns/Outright,BA
NA,east anglia,male,white,Partner/Single,31,Owns/Mortgage,BA
NA,west midlands,female,white,Seperated/Divorced,50,Owns/Outright,Technical/None/Other
NA,east midlands,female,white,Partner/Single,48,Rent/Other,GCSE
NA,yorkshire & humberside,male,white,Partner/Single,50,Owns/Outright,GCE
Conservative,south east,female,white,Married/Widowed,45,Owns/Mortgage,GCSE
Conservative,west midlands,female,white,Partner/Single,33,Owns/Mortgage,GCE
NA,south east,female,white,Married/Widowed,39,Owns/Mortgage,Technical/None/Other
NA,south west,male,white,Married/Widowed,52,Rent/Other,GCE
NA,east anglia,male,white,Partner/Single,33,Owns/Outright,BA
LiberalDemocrat,west midlands,female,white,Married/Widowed,46,Owns/Mortgage,BA
NA,north,female,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
Conservative,west midlands,female,white,Seperated/Divorced,51,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,37,Owns/Mortgage,GCSE
NA,west midlands,male,white,Partner/Single,44,Rent/Other,GCSE
NA,west midlands,male,white,Married/Widowed,67,Owns/Mortgage,GCE
LiberalDemocrat,greater london,female,black or black british,Seperated/Divorced,53,Rent/Other,Technical/None/Other
NA,scotland,female,white,Partner/Single,41,Owns/Mortgage,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,41,Owns/Mortgage,GCE
Conservative,west midlands,female,white,Married/Widowed,61,Owns/Outright,GCE
NA,greater london,female,asian or asian british,Partner/Single,29,Owns/Outright,BA
NA,south east,male,white,Married/Widowed,55,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,female,white,Married/Widowed,76,Owns/Outright,GCE
NA,north,male,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
Other,north west,male,white,Seperated/Divorced,56,Owns/Outright,BA
NA,north west,female,white,Partner/Single,30,Owns/Mortgage,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Labour,yorkshire & humberside,female,white,Seperated/Divorced,50,Owns/Mortgage,GCE
Other,greater london,male,white,Partner/Single,48,Owns/Mortgage,GCSE
Other,south east,male,white,Partner/Single,63,Owns/Outright,GCSE
NA,south west,female,white,Married/Widowed,66,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Married/Widowed,39,Owns/Mortgage,BA
NA,scotland,female,white,Married/Widowed,33,Owns/Mortgage,Technical/None/Other
Labour,scotland,female,white,Partner/Single,44,Rent/Other,GCE
NA,north,female,white,Partner/Single,31,Owns/Mortgage,BA
NA,north,male,white,Married/Widowed,52,Owns/Mortgage,GCSE
LiberalDemocrat,north west,male,white,Partner/Single,44,Owns/Mortgage,Technical/None/Other
Conservative,north west,male,white,Partner/Single,41,Owns/Mortgage,Technical/None/Other
NA,greater london,female,white,Partner/Single,41,Rent/Other,Technical/None/Other
Other,south east,male,white,Married/Widowed,70,Owns/Outright,BA
Labour,south east,female,white,Married/Widowed,41,Owns/Mortgage,GCE
Conservative,greater london,female,white,Seperated/Divorced,54,Rent/Other,Technical/None/Other
NA,north,male,white,Partner/Single,36,Owns/Mortgage,GCE
LiberalDemocrat,north west,male,white,Partner/Single,42,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Partner/Single,51,Owns/Mortgage,BA
NA,wales,female,white,Married/Widowed,47,Owns/Mortgage,GCSE
NA,east anglia,female,white,Partner/Single,64,Owns/Mortgage,GCE
Labour,south east,female,white,Married/Widowed,50,Owns/Mortgage,GCE
LiberalDemocrat,scotland,female,white,Partner/Single,52,Rent/Other,GCE
Labour,north west,female,white,Partner/Single,28,Owns/Mortgage,BA
NA,east midlands,male,white,Married/Widowed,51,Rent/Other,GCSE
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,38,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,37,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Partner/Single,37,Rent/Other,Technical/None/Other
Labour,scotland,female,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,34,Owns/Mortgage,BA
Conservative,east midlands,male,white,Seperated/Divorced,42,Owns/Mortgage,BA
Conservative,greater london,female,white,Married/Widowed,63,Owns/Outright,GCSE
Labour,west midlands,female,white,Married/Widowed,37,Owns/Mortgage,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,24,Rent/Other,BA
LiberalDemocrat,yorkshire & humberside,female,white,Married/Widowed,55,Owns/Mortgage,GCE
NA,east midlands,female,white,Married/Widowed,50,Owns/Mortgage,GCSE
Labour,east midlands,female,white,Seperated/Divorced,66,Owns/Outright,Technical/None/Other
LiberalDemocrat,east midlands,male,white,Married/Widowed,67,Owns/Outright,BA
Labour,south east,male,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Partner/Single,58,Rent/Other,GCE
Conservative,south east,female,white,Married/Widowed,50,Owns/Mortgage,GCSE
Labour,south west,male,white,Married/Widowed,46,Rent/Other,BA
Conservative,south east,male,white,Married/Widowed,74,Owns/Outright,BA
Conservative,east anglia,female,white,Married/Widowed,57,Owns/Mortgage,Technical/None/Other
Conservative,south west,female,white,Married/Widowed,46,Owns/Mortgage,GCSE
NA,south west,male,white,Partner/Single,28,Rent/Other,BA
LiberalDemocrat,east midlands,male,white,Married/Widowed,44,Owns/Mortgage,BA
Conservative,yorkshire & humberside,male,white,Married/Widowed,60,Owns/Outright,GCSE
Conservative,east anglia,male,white,Married/Widowed,50,Owns/Mortgage,BA
NA,south east,male,white,Partner/Single,41,Owns/Outright,BA
NA,greater london,female,white,Married/Widowed,55,Owns/Outright,GCSE
Conservative,greater london,female,white,Seperated/Divorced,64,Rent/Other,Technical/None/Other
Conservative,south west,female,white,Seperated/Divorced,70,Rent/Other,GCE
NA,yorkshire & humberside,male,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
LiberalDemocrat,east anglia,female,white,Seperated/Divorced,56,Owns/Mortgage,Technical/None/Other
Labour,scotland,male,white,Partner/Single,55,Owns/Outright,GCE
Conservative,east anglia,female,white,Married/Widowed,80,Owns/Outright,Technical/None/Other
Conservative,yorkshire & humberside,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
Conservative,south west,female,white,Married/Widowed,57,Owns/Mortgage,Technical/None/Other
NA,north west,female,white,Partner/Single,52,Rent/Other,GCE
NA,north,male,white,Partner/Single,28,Owns/Outright,BA
NA,wales,male,white,Partner/Single,49,Owns/Mortgage,GCSE
NA,north west,female,white,Married/Widowed,62,Owns/Outright,GCSE
NA,south west,female,white,Partner/Single,52,Owns/Mortgage,BA
NA,greater london,male,white,Partner/Single,24,Rent/Other,BA
LiberalDemocrat,east anglia,female,white,Married/Widowed,68,Owns/Outright,GCE
NA,greater london,female,white,Partner/Single,42,Owns/Mortgage,Technical/None/Other
Labour,greater london,male,white,Partner/Single,55,Owns/Mortgage,GCSE
Conservative,north west,female,white,Married/Widowed,51,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Married/Widowed,80,Owns/Outright,BA
Labour,south east,male,white,Married/Widowed,49,Owns/Mortgage,BA
Conservative,east midlands,male,white,Married/Widowed,63,Owns/Outright,GCE
NA,south east,female,white,Partner/Single,25,Owns/Outright,BA
Conservative,south west,male,white,Partner/Single,50,Owns/Outright,Technical/None/Other
Other,south east,male,white,Partner/Single,41,Owns/Mortgage,BA
Conservative,south west,male,white,Married/Widowed,59,Owns/Outright,BA
Conservative,south east,male,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
Other,east anglia,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
LiberalDemocrat,south west,female,white,Married/Widowed,68,Owns/Outright,BA
NA,scotland,female,white,Married/Widowed,27,Owns/Mortgage,BA
NA,wales,female,asian or asian british,Partner/Single,25,Rent/Other,BA
NA,south east,female,white,Married/Widowed,45,Owns/Mortgage,GCSE
Conservative,greater london,female,other ethnic background,Seperated/Divorced,50,Owns/Mortgage,BA
Conservative,yorkshire & humberside,female,white,Married/Widowed,63,Owns/Outright,BA
NA,scotland,female,other ethnic background,Partner/Single,25,Owns/Outright,BA
LiberalDemocrat,south west,male,white,Married/Widowed,69,Owns/Outright,BA
NA,north west,female,white,Partner/Single,54,Owns/Mortgage,BA
Labour,south east,male,white,Seperated/Divorced,53,Rent/Other,Technical/None/Other
Conservative,yorkshire & humberside,male,white,Partner/Single,27,Rent/Other,Technical/None/Other
Labour,north west,female,white,Married/Widowed,47,Owns/Mortgage,GCSE
NA,scotland,male,white,Partner/Single,20,Owns/Mortgage,BA
NA,south west,female,white,Married/Widowed,56,Rent/Other,GCE
LiberalDemocrat,west midlands,male,white,Married/Widowed,48,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,46,Owns/Outright,GCE
Conservative,east anglia,female,white,Seperated/Divorced,61,Owns/Mortgage,GCE
NA,east anglia,male,white,Married/Widowed,30,Owns/Mortgage,Technical/None/Other
Conservative,yorkshire & humberside,male,white,Partner/Single,22,Rent/Other,BA
Conservative,greater london,female,white,Seperated/Divorced,67,Rent/Other,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,51,Owns/Mortgage,BA
NA,north west,male,white,Partner/Single,28,Rent/Other,BA
NA,greater london,male,white,Married/Widowed,62,Owns/Outright,GCE
Conservative,scotland,male,white,Married/Widowed,53,Rent/Other,GCSE
Conservative,south west,female,white,Seperated/Divorced,50,Owns/Mortgage,GCE
LiberalDemocrat,south east,female,white,Married/Widowed,41,Owns/Mortgage,BA
Labour,greater london,female,white,Partner/Single,30,Rent/Other,GCE
NA,greater london,male,white,Seperated/Divorced,56,Owns/Outright,GCSE
NA,wales,female,white,Partner/Single,35,Owns/Outright,BA
Conservative,greater london,male,white,Partner/Single,27,Rent/Other,GCE
NA,wales,female,white,Married/Widowed,47,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Partner/Single,36,Owns/Mortgage,GCSE
Labour,south east,male,white,Married/Widowed,51,Owns/Mortgage,BA
NA,north west,male,white,Married/Widowed,55,Owns/Mortgage,BA
Conservative,east midlands,female,white,Partner/Single,35,Owns/Mortgage,BA
NA,east midlands,male,white,Married/Widowed,57,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,male,white,Married/Widowed,35,Owns/Mortgage,GCSE
LiberalDemocrat,south east,female,white,Partner/Single,37,Rent/Other,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,female,white,Married/Widowed,62,Rent/Other,BA
NA,scotland,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
NA,wales,female,white,Married/Widowed,52,Rent/Other,Technical/None/Other
NA,scotland,female,white,Married/Widowed,43,Owns/Mortgage,BA
Conservative,north west,male,white,Married/Widowed,52,Owns/Mortgage,Technical/None/Other
Conservative,east anglia,female,white,Partner/Single,44,Owns/Mortgage,BA
Conservative,greater london,female,white,Partner/Single,63,Owns/Outright,BA
LiberalDemocrat,west midlands,male,white,Seperated/Divorced,47,Rent/Other,GCE
NA,east anglia,male,white,Married/Widowed,52,Rent/Other,Technical/None/Other
NA,south west,female,white,Married/Widowed,53,Owns/Mortgage,GCE
NA,south east,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,41,Owns/Mortgage,BA
LiberalDemocrat,south west,male,white,Seperated/Divorced,71,Owns/Mortgage,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Partner/Single,57,Owns/Outright,GCE
NA,wales,male,white,Seperated/Divorced,66,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,27,Rent/Other,BA
Conservative,south west,female,white,Partner/Single,60,Owns/Mortgage,BA
NA,east anglia,female,white,Seperated/Divorced,30,Rent/Other,Technical/None/Other
Other,south west,female,white,Partner/Single,29,Owns/Mortgage,BA
Conservative,west midlands,male,white,Partner/Single,58,Owns/Mortgage,Technical/None/Other
Labour,wales,female,white,Married/Widowed,41,Owns/Mortgage,GCSE
Conservative,north west,female,white,Seperated/Divorced,56,Owns/Mortgage,GCSE
Labour,north,male,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,52,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,female,white,Married/Widowed,70,Owns/Outright,GCE
NA,greater london,female,white,Seperated/Divorced,30,Owns/Mortgage,GCE
LiberalDemocrat,greater london,male,white,Seperated/Divorced,48,Rent/Other,Technical/None/Other
Labour,east midlands,female,white,Married/Widowed,39,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,female,white,Partner/Single,41,Rent/Other,BA
Labour,wales,female,white,Married/Widowed,43,Owns/Mortgage,GCSE
Other,south west,female,white,Married/Widowed,38,Rent/Other,GCE
NA,yorkshire & humberside,female,white,Married/Widowed,27,Rent/Other,GCSE
Labour,east midlands,male,white,Married/Widowed,89,Rent/Other,Technical/None/Other
Labour,north west,female,white,Married/Widowed,43,Owns/Mortgage,Technical/None/Other
Conservative,greater london,male,mixed background,Seperated/Divorced,46,Rent/Other,GCE
Labour,north west,male,white,Partner/Single,51,Owns/Mortgage,GCE
LiberalDemocrat,north west,male,white,Married/Widowed,53,Owns/Outright,GCE
NA,greater london,male,white,Partner/Single,42,Rent/Other,BA
NA,east midlands,female,mixed background,Married/Widowed,69,Owns/Outright,Technical/None/Other
NA,scotland,male,white,Married/Widowed,56,Rent/Other,GCSE
Other,yorkshire & humberside,male,white,Partner/Single,24,Rent/Other,GCSE
Other,greater london,male,white,Partner/Single,24,Owns/Outright,BA
Conservative,east anglia,female,white,Married/Widowed,51,Owns/Mortgage,GCE
NA,north,female,white,Partner/Single,25,Rent/Other,BA
NA,south east,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
NA,north west,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Conservative,greater london,male,white,Seperated/Divorced,56,Owns/Mortgage,GCE
NA,north,male,white,Partner/Single,44,Owns/Mortgage,GCE
LiberalDemocrat,scotland,female,white,Married/Widowed,38,Owns/Mortgage,BA
LiberalDemocrat,north west,male,white,Married/Widowed,53,Owns/Mortgage,GCSE
Other,north west,female,white,Partner/Single,52,Owns/Outright,GCSE
LiberalDemocrat,south east,female,white,Married/Widowed,35,Owns/Mortgage,GCE
Conservative,yorkshire & humberside,female,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
Labour,yorkshire & humberside,male,white,Partner/Single,41,Owns/Outright,BA
NA,yorkshire & humberside,female,white,Married/Widowed,41,Rent/Other,GCE
NA,south west,male,white,Married/Widowed,53,Owns/Mortgage,GCE
LiberalDemocrat,south east,female,white,Married/Widowed,48,Owns/Mortgage,BA
NA,wales,female,white,Partner/Single,25,Rent/Other,GCSE
Labour,west midlands,female,white,Married/Widowed,32,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,51,Owns/Mortgage,Technical/None/Other
Conservative,south west,male,white,Married/Widowed,38,Owns/Mortgage,GCSE
Conservative,south east,female,white,Married/Widowed,60,Owns/Outright,BA
NA,greater london,female,other ethnic background,Partner/Single,26,Owns/Outright,BA
Conservative,east anglia,female,white,Married/Widowed,39,Owns/Mortgage,GCSE
Conservative,west midlands,female,white,Married/Widowed,34,Owns/Mortgage,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,41,Owns/Mortgage,GCSE
LiberalDemocrat,scotland,female,white,Married/Widowed,38,Rent/Other,GCE
NA,south east,female,black or black british,Partner/Single,24,Owns/Mortgage,BA
NA,south east,male,white,Seperated/Divorced,51,Rent/Other,Technical/None/Other
Labour,scotland,male,white,Partner/Single,60,Owns/Outright,Technical/None/Other
Conservative,greater london,male,white,Seperated/Divorced,64,Owns/Outright,BA
Conservative,east anglia,male,white,Married/Widowed,51,Owns/Mortgage,BA
NA,north west,female,white,Married/Widowed,50,Owns/Mortgage,GCSE
Labour,south east,male,mixed background,Married/Widowed,59,Owns/Outright,BA
NA,scotland,male,white,Partner/Single,27,Owns/Mortgage,BA
NA,west midlands,male,white,Married/Widowed,55,Owns/Mortgage,Technical/None/Other
NA,north,male,white,Married/Widowed,47,Owns/Mortgage,GCE
Conservative,south east,female,white,Married/Widowed,83,Owns/Outright,Technical/None/Other
NA,south east,female,white,Partner/Single,57,Owns/Mortgage,BA
Conservative,east anglia,male,white,Married/Widowed,32,Owns/Mortgage,GCE
Labour,scotland,female,white,Partner/Single,33,Owns/Mortgage,BA
NA,south west,female,white,Partner/Single,33,Owns/Mortgage,GCE
Labour,west midlands,male,white,Seperated/Divorced,46,Owns/Mortgage,Technical/None/Other
Labour,scotland,female,white,Married/Widowed,72,Owns/Outright,Technical/None/Other
Labour,east midlands,female,white,Married/Widowed,30,Rent/Other,BA
NA,east anglia,female,white,Married/Widowed,36,Owns/Mortgage,BA
Labour,south east,male,white,Partner/Single,64,Owns/Outright,Technical/None/Other
LiberalDemocrat,north west,female,white,Partner/Single,39,Owns/Mortgage,BA
Conservative,greater london,male,white,Partner/Single,20,Rent/Other,GCE
NA,north west,female,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
Conservative,south east,male,white,Partner/Single,45,Owns/Mortgage,GCE
LiberalDemocrat,scotland,female,white,Partner/Single,29,Rent/Other,GCE
LiberalDemocrat,south west,male,white,Married/Widowed,35,Owns/Mortgage,BA
Labour,east anglia,male,white,Married/Widowed,40,Owns/Mortgage,BA
Conservative,yorkshire & humberside,female,white,Married/Widowed,28,Owns/Mortgage,Technical/None/Other
Conservative,north,female,white,Married/Widowed,31,Owns/Outright,BA
NA,wales,female,white,Partner/Single,39,Owns/Mortgage,GCE
LiberalDemocrat,east midlands,female,white,Seperated/Divorced,55,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Married/Widowed,45,Owns/Mortgage,Technical/None/Other
NA,scotland,male,white,Married/Widowed,54,Owns/Mortgage,BA
NA,scotland,female,white,Partner/Single,51,Owns/Mortgage,GCE
NA,scotland,male,white,Married/Widowed,65,Owns/Outright,GCE
LiberalDemocrat,north west,female,white,Married/Widowed,49,Owns/Mortgage,GCE
Labour,west midlands,female,white,Partner/Single,43,Owns/Mortgage,GCSE
Labour,wales,male,white,Married/Widowed,42,Rent/Other,BA
NA,south east,female,white,Partner/Single,19,Owns/Mortgage,GCE
NA,greater london,male,white,Partner/Single,30,Rent/Other,BA
NA,south west,male,black or black british,Partner/Single,47,Rent/Other,Technical/None/Other
NA,wales,male,white,Married/Widowed,75,Owns/Outright,GCSE
Conservative,east anglia,male,white,Partner/Single,40,Owns/Mortgage,BA
Conservative,south east,female,white,Married/Widowed,68,Owns/Outright,BA
Other,greater london,female,white,Married/Widowed,52,Owns/Outright,Technical/None/Other
NA,west midlands,male,white,Partner/Single,32,Rent/Other,BA
Conservative,yorkshire & humberside,male,white,Married/Widowed,36,Owns/Mortgage,BA
Labour,greater london,female,black or black british,Partner/Single,38,Owns/Mortgage,BA
NA,south west,female,white,Married/Widowed,62,Owns/Outright,GCSE
NA,scotland,male,white,Partner/Single,22,Owns/Mortgage,BA
LiberalDemocrat,north west,female,white,Married/Widowed,36,Owns/Mortgage,BA
LiberalDemocrat,north west,male,white,Married/Widowed,50,Rent/Other,GCE
Labour,scotland,female,white,Married/Widowed,57,Owns/Mortgage,BA
Conservative,south east,female,white,Married/Widowed,58,Owns/Mortgage,GCE
Conservative,west midlands,female,white,Seperated/Divorced,55,Owns/Outright,GCE
NA,greater london,female,white,Married/Widowed,41,Rent/Other,Technical/None/Other
LiberalDemocrat,south west,female,white,Partner/Single,33,Owns/Mortgage,GCE
Conservative,greater london,male,white,Partner/Single,34,Owns/Mortgage,BA
Conservative,greater london,female,white,Married/Widowed,52,Owns/Mortgage,GCE
NA,south east,male,white,Married/Widowed,55,Owns/Mortgage,GCE
NA,north west,male,white,Married/Widowed,31,Owns/Mortgage,BA
NA,south east,male,white,Partner/Single,24,Rent/Other,BA
Labour,yorkshire & humberside,female,white,Married/Widowed,44,Owns/Mortgage,GCE
Other,east anglia,male,white,Married/Widowed,57,Owns/Outright,GCE
NA,east midlands,female,white,Married/Widowed,54,Owns/Outright,BA
LiberalDemocrat,north west,male,white,Partner/Single,24,Rent/Other,GCE
Labour,greater london,female,white,Partner/Single,36,Owns/Mortgage,BA
Conservative,west midlands,female,white,Married/Widowed,38,Owns/Mortgage,Technical/None/Other
NA,north west,male,white,Married/Widowed,58,Owns/Outright,GCE
NA,greater london,female,white,Partner/Single,70,Owns/Outright,Technical/None/Other
Labour,south east,female,white,Married/Widowed,55,Owns/Outright,BA
NA,wales,female,white,Partner/Single,36,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,55,Owns/Mortgage,GCSE
